Inference for Bugs model at "/home/kubo/public_html/stat/iwanami/fig/hbm/model.bug.txt", fit using WinBUGS,
 3 chains, each with 2100 iterations (first 100 discarded), n.thin = 5
 n.sims = 1200 iterations saved
            mean     sd    2.5%     25%     50%     75%   97.5%  Rhat n.eff
r[71]     -3.810  1.747  -7.891  -4.778  -3.612  -2.587  -1.037 1.001  1200
r[72]      0.552  0.820  -1.004  -0.006   0.542   1.103   2.180 1.001  1200
r[73]     -1.974  1.066  -4.347  -2.607  -1.856  -1.253  -0.174 1.000  1200
r[74]     -3.796  1.708  -7.732  -4.797  -3.621  -2.554  -1.017 1.003  1100
r[75]     -3.763  1.719  -7.633  -4.809  -3.520  -2.502  -0.951 1.002   750
r[76]     -3.772  1.760  -8.032  -4.691  -3.477  -2.557  -1.065 1.001  1200
r[77]      3.708  1.776   0.936   2.469   3.476   4.715   7.893 1.002  1200
r[78]     -2.020  1.075  -4.320  -2.709  -1.972  -1.252  -0.139 1.001  1200
r[79]      3.780  1.774   1.038   2.576   3.519   4.716   7.996 1.003   770
r[80]     -0.022  0.826  -1.586  -0.573  -0.048   0.536   1.630 1.004   450
r[81]      2.084  1.082   0.250   1.328   1.964   2.756   4.401 1.003  1100
r[82]     -1.188  0.900  -3.162  -1.752  -1.127  -0.604   0.386 1.001  1200
r[83]     -2.062  1.106  -4.575  -2.724  -1.956  -1.280  -0.157 1.003   640
r[84]      0.038  0.792  -1.496  -0.524   0.041   0.605   1.565 1.004   550
r[85]      2.032  1.090   0.124   1.305   1.934   2.669   4.358 1.001  1200
r[86]     -3.832  1.705  -7.673  -4.836  -3.619  -2.624  -1.035 1.000  1200
r[87]      3.767  1.775   1.081   2.440   3.510   4.762   7.806 1.001  1200
r[88]     -2.027  1.082  -4.331  -2.704  -1.953  -1.282  -0.078 1.004   770
r[89]      3.775  1.722   1.006   2.586   3.543   4.708   7.828 1.000  1200
r[90]      2.006  1.160   0.051   1.240   1.876   2.674   4.596 1.000  1200
r[91]      1.131  0.897  -0.492   0.502   1.090   1.708   3.078 1.002  1000
r[92]     -1.195  0.901  -3.016  -1.773  -1.176  -0.544   0.474 1.002  1200
r[93]      3.881  1.746   1.071   2.686   3.696   4.841   7.783 1.000  1200
r[94]      1.117  0.881  -0.601   0.518   1.105   1.672   3.014 1.005   750
r[95]      1.200  0.916  -0.450   0.594   1.149   1.797   3.133 1.003   630
r[96]     -2.062  1.110  -4.447  -2.751  -1.942  -1.272  -0.247 1.001  1200
r[97]     -3.723  1.682  -7.454  -4.750  -3.464  -2.562  -0.957 1.004   460
r[98]      0.008  0.809  -1.511  -0.522  -0.025   0.555   1.620 1.002   990
r[99]      2.021  1.113   0.052   1.235   1.920   2.723   4.508 1.003   720
r[100]    -3.738  1.783  -7.781  -4.779  -3.478  -2.420  -0.975 1.000  1200
s          2.991  0.363   2.331   2.741   2.968   3.220   3.749 1.001  1200
q[1]       0.053  0.070   0.000   0.008   0.026   0.070   0.265 1.001  1200
q[2]       0.261  0.142   0.044   0.152   0.244   0.351   0.591 1.004   560
q[3]       0.850  0.115   0.562   0.793   0.875   0.938   0.991 1.008   500
q[4]       0.950  0.064   0.760   0.933   0.975   0.992   1.000 1.002  1200
q[5]       0.152  0.111   0.013   0.066   0.126   0.211   0.420 1.000  1200
q[6]       0.845  0.116   0.572   0.784   0.871   0.935   0.990 1.002  1200
q[7]       0.945  0.067   0.768   0.923   0.969   0.991   1.000 1.001  1200
q[8]       0.947  0.065   0.769   0.930   0.971   0.991   1.000 1.011   710
q[9]       0.157  0.116   0.013   0.066   0.130   0.221   0.457 1.002  1200
q[10]      0.150  0.112   0.011   0.063   0.121   0.217   0.422 1.002  1200
q[11]      0.504  0.166   0.198   0.373   0.507   0.629   0.822 1.004   780
q[12]      0.053  0.067   0.000   0.008   0.027   0.071   0.236 1.002   890
q[13]      0.157  0.112   0.013   0.071   0.133   0.215   0.420 1.000  1200
q[14]      0.500  0.169   0.174   0.380   0.504   0.625   0.812 1.003  1200
q[15]      0.847  0.115   0.552   0.780   0.875   0.935   0.988 1.004   800
q[16]      0.947  0.066   0.756   0.927   0.972   0.991   1.000 1.001  1200
q[17]      0.845  0.116   0.555   0.778   0.875   0.937   0.987 1.000  1200
q[18]      0.054  0.067   0.000   0.009   0.027   0.075   0.245 1.004   510
q[19]      0.265  0.142   0.052   0.155   0.246   0.355   0.577 1.000  1200
q[20]      0.272  0.145   0.050   0.159   0.251   0.369   0.596 1.006   450
q[21]      0.159  0.122   0.015   0.066   0.128   0.221   0.457 1.001  1200
q[22]      0.155  0.114   0.012   0.069   0.128   0.215   0.430 1.001  1200
q[23]      0.623  0.156   0.310   0.512   0.640   0.741   0.901 1.005   510
q[24]      0.844  0.118   0.547   0.786   0.870   0.931   0.988 1.001  1200
q[25]      0.945  0.068   0.746   0.923   0.970   0.992   1.000 1.000  1200
q[26]      0.383  0.161   0.106   0.263   0.372   0.497   0.711 1.000  1200
q[27]      0.942  0.071   0.736   0.919   0.969   0.991   0.999 1.001  1200
q[28]      0.498  0.162   0.191   0.381   0.497   0.619   0.811 1.004   640
q[29]      0.724  0.146   0.410   0.632   0.740   0.835   0.946 1.003   750
q[30]      0.053  0.070   0.000   0.007   0.026   0.069   0.248 1.006   730
q[31]      0.946  0.071   0.751   0.927   0.973   0.992   1.000 1.000  1200
q[32]      0.848  0.117   0.552   0.784   0.874   0.935   0.990 1.012   580
q[33]      0.947  0.066   0.756   0.929   0.970   0.991   1.000 1.007   990
q[34]      0.056  0.070   0.001   0.010   0.030   0.076   0.253 1.003   840
q[35]      0.275  0.146   0.051   0.163   0.253   0.367   0.595 1.002   810
q[36]      0.734  0.146   0.415   0.641   0.750   0.847   0.958 1.002   920
q[37]      0.844  0.116   0.542   0.781   0.868   0.934   0.989 1.001  1200
q[38]      0.944  0.071   0.751   0.924   0.971   0.991   0.999 1.009  1100
q[39]      0.263  0.142   0.049   0.153   0.248   0.353   0.575 1.002  1200
q[40]      0.154  0.114   0.013   0.067   0.129   0.213   0.436 1.005   590
q[41]      0.153  0.113   0.012   0.065   0.130   0.214   0.429 1.001  1200
q[42]      0.053  0.068   0.000   0.007   0.027   0.070   0.230 1.004   470
q[43]      0.054  0.069   0.000   0.008   0.028   0.072   0.242 1.000  1200
q[44]      0.843  0.117   0.550   0.780   0.873   0.934   0.986 1.001  1200
q[45]      0.948  0.066   0.751   0.929   0.972   0.992   1.000 1.000  1200
q[46]      0.613  0.157   0.292   0.509   0.620   0.725   0.883 1.001  1200
q[47]      0.845  0.115   0.570   0.782   0.875   0.933   0.989 1.002  1200
q[48]      0.275  0.149   0.056   0.159   0.252   0.373   0.593 1.003  1200
q[49]      0.946  0.065   0.770   0.925   0.972   0.990   0.999 1.003  1200
q[50]      0.153  0.114   0.013   0.065   0.126   0.212   0.427 1.000  1200
q[51]      0.620  0.156   0.296   0.512   0.631   0.734   0.891 1.001  1200
q[52]      0.841  0.113   0.570   0.783   0.865   0.927   0.985 1.011   450
q[53]      0.376  0.156   0.112   0.261   0.365   0.484   0.703 1.001  1200
q[54]      0.945  0.068   0.742   0.923   0.970   0.991   1.000 1.002  1200
q[55]      0.055  0.073   0.000   0.008   0.027   0.070   0.275 1.000  1200
q[56]      0.945  0.072   0.748   0.927   0.972   0.992   1.000 1.018  1200
q[57]      0.733  0.146   0.390   0.644   0.754   0.840   0.957 1.003  1200
q[58]      0.393  0.159   0.105   0.274   0.390   0.503   0.703 1.008   600
q[59]      0.267  0.142   0.053   0.156   0.247   0.364   0.597 1.000  1200
q[60]      0.054  0.071   0.000   0.008   0.027   0.073   0.272 1.003  1200
q[61]      0.054  0.071   0.000   0.009   0.028   0.071   0.257 1.002  1200
q[62]      0.152  0.116   0.012   0.065   0.122   0.213   0.440 1.004   440
q[63]      0.257  0.136   0.049   0.155   0.239   0.342   0.574 1.001  1200
q[64]      0.947  0.066   0.765   0.927   0.973   0.992   1.000 1.009  1200
q[65]      0.846  0.114   0.542   0.786   0.870   0.932   0.990 1.003   850
q[66]      0.847  0.114   0.556   0.782   0.872   0.933   0.989 1.001  1200
q[67]      0.850  0.111   0.568   0.793   0.874   0.935   0.989 1.004  1200
q[68]      0.946  0.068   0.749   0.927   0.970   0.991   1.000 1.011   860
q[69]      0.050  0.065   0.000   0.007   0.025   0.068   0.247 1.006   320
q[70]      0.057  0.069   0.000   0.010   0.030   0.079   0.259 1.004  1200
q[71]      0.053  0.069   0.000   0.008   0.027   0.069   0.252 1.001  1200
q[72]      0.619  0.162   0.288   0.503   0.631   0.745   0.887 1.002  1200
q[73]      0.156  0.111   0.015   0.074   0.133   0.221   0.431 1.001  1200
q[74]      0.054  0.068   0.000   0.008   0.028   0.074   0.245 1.003   880
q[75]      0.055  0.072   0.001   0.008   0.029   0.078   0.256 1.002  1200
q[76]      0.054  0.068   0.000   0.009   0.029   0.072   0.244 1.001  1200
q[77]      0.941  0.073   0.732   0.919   0.970   0.991   1.000 1.000  1200
q[78]      0.154  0.113   0.014   0.064   0.125   0.220   0.426 1.002  1200
q[79]      0.945  0.070   0.754   0.928   0.970   0.992   1.000 1.011  1100
q[80]      0.495  0.169   0.186   0.371   0.494   0.619   0.814 1.004   470
q[81]      0.853  0.110   0.583   0.795   0.878   0.939   0.988 1.001  1200
q[82]      0.261  0.140   0.043   0.157   0.241   0.344   0.574 1.002  1200
q[83]      0.150  0.112   0.011   0.062   0.124   0.215   0.417 1.004   460
q[84]      0.509  0.162   0.199   0.388   0.509   0.635   0.805 1.010   300
q[85]      0.846  0.114   0.565   0.787   0.873   0.933   0.988 1.000  1200
q[86]      0.051  0.068   0.000   0.008   0.026   0.069   0.232 1.000  1200
q[87]      0.944  0.069   0.760   0.922   0.970   0.992   1.000 1.015  1000
